Producto buscado,Nombre,Precio,Presentación,Supermercado
Aceite ,Aceite Comestible Vegetal 1-2-3 1 lt,$36.90,No disponible,Soriana
Aceite ,Aceite Vegetal Precíssimo,$28.90,850 ml,Soriana
Aceite ,Aceite Vegetal Nutrioli,$43.90,850ml,Soriana
Arroz ,Arroz Valley Foods súper extra,$17.50,900 g,Soriana
Arroz ,Arroz Extra Precíssimo,$19.50,900g,Soriana
Arroz ,Arroz Schettino Super Extra Bol 900gr,$25.90,No disponible,Soriana
Atún,Ensalada de Atún Sin Mayonesa Valley Foods,$19.90,135 g,Soriana
Atún,Ensalada de Atún con Mayonesa Valley Foods,$23.90,135 g,Soriana
Atún,Atún en Agua Precíssimo,$12.00,130g,Soriana
Azúcar morena,Azúcar Mascabado Zulka 500 Gr,$33.50,No disponible,Soriana
Azúcar morena,Metco Azucar Mascabado Genuino,$31.00,200 g,Soriana
Azúcar morena,Azúcar Mascabado Metco,$112.90,1.4 Kg,Soriana
Bistec de res,Bisteck Estrella de Res Rancho Don Francisco Selecta Kg,$184.00,No disponible,Soriana
Bistec de res,Bisteck de Res Tampiqueña Rancho Don Francisco Selecta Kg,$269.00,No disponible,Soriana
Bistec de res,Bisteck/Chuleta del 0 de Res Rancho Don Francisco Selecta Kg,$204.00,No disponible,Soriana
Cebolla ,Cebolla blanca Kg,$36.00,No disponible,Soriana
Cebolla ,Cebolla Amarilla Kg,$23.90,No disponible,Soriana
Cebolla ,Cebolla Morada Kg,$35.50,No disponible,Soriana
Chile jalapeño,Chile Jalapeño Cuaresmeño Kg,$30.90,No disponible,Soriana
Chile jalapeño,Rajas De Chiles Jalapeños En Escabeche Clemente Jacques 220 gr,$12.50,No disponible,Soriana
Chile jalapeño,Chiles Jalapeños En Escabeche Enteros Clemente Jacques 220 gr,$13.80,No disponible,Soriana
Chuleta de puerco,Chuleta de Lomo de Cerdo Ahumada Kg,$142.90,No disponible,Soriana
Chuleta de puerco,Chuleta de Cerdo Fresca Kg,$135.00,No disponible,Soriana
Chuleta de puerco,Chuleta Mixta de Lomo de Cerdo Kg,$108.00,No disponible,Soriana
Frijol,Frijol Pinto Precíssimo,$28.80,908g,Soriana
Frijol,Frijol pinto Valley Foods,$31.90,900 g,Soriana
Frijol,Frijol Peruano,$57.50,908g,Soriana
Huevo de gallina blanco,Huevos Blanco Bachoco Gallina Libre,$59.90,12 pz,Soriana
Huevo de gallina blanco,,,No disponible,Soriana
Huevo de gallina blanco,,,No disponible,Soriana
Jabón de tocador,Jabon Neutro Precíssimo,$5.30,135 ml,Soriana
Jabón de tocador,Jabón en Barra Palmolive Neutro Balance Dermolimpiador 4 pzas,$59.00,120 g,Soriana
Jabón de tocador,Jabón de tocador Caricia 135Gr Neutro,$11.50,No disponible,Soriana
Jitomate saladet,Jitomate Huaje Saladette Kg,$29.50,No disponible,Soriana
Jitomate saladet,Jitomate Bola Kg,$30.90,No disponible,Soriana
Jitomate saladet,Tomate Verde Campo Vivo Orgánico 450 gr,$55.90,No disponible,Soriana
Leche ,Leche entera Valley Foods,$18.00,1 L,Soriana
Leche ,Leche Alpura Deslactosada 1 Paquete con 4 piezas de 1 lt c/u,$109.90,No disponible,Soriana
Leche ,Leche UHT Lala Deslactosada 1 Litro,$176.00,6 Piezas,Soriana
Limón,Limón sin Semilla Kg,$19.80,No disponible,Soriana
Limón,Limón con semilla Kg,$24.80,No disponible,Soriana
Limón,Limón Amarillo Kg,$41.90,No disponible,Soriana
Manzana,Manzana Red Delicious Kg,$29.90,No disponible,Soriana
Manzana,Manzana Golden Bolsa,$34.00,No disponible,Soriana
Manzana,Manzana Golden Delicious Kg,$45.90,No disponible,Soriana
Naranja,Naranja Kg,$24.80,No disponible,Soriana
Naranja,Bolsa de Basura Precíssimo Naranja Tamaño Grande 62cm X 76cm,$75.00,60 piezas,Soriana
Naranja,Naranja S/Semilla Kg,$53.90,No disponible,Soriana
Pan de caja,Pan en Barra Blanco Bimbo Grande,$44.90,620 g,Soriana
Pan de caja,Pan en Barra Integral Bimbo Grande,$52.90,620 g,Soriana
Pan de caja,Pan Artesano Bimbo Grande,$57.90,567 g,Soriana
Papa,Papa blanca Kg,$19.80,No disponible,Soriana
Papa,Papa Morena Kg,$21.00,No disponible,Soriana
Papa,Papa Cambray Kg,$39.80,No disponible,Soriana
Papel higiénico,Papel higiénico Quality Day Soft & Roll 40 Rollos,$189.90,No disponible,Soriana
Papel higiénico,Papel Higiénico Regio Luxury Almond Touch 32 rollos,$355.00,No disponible,Soriana
Papel higiénico,Papel higiénico Quality Day Soft & Roll 4 Rollos,$27.50,No disponible,Soriana
Pasta para sopa,Pasta Almeja La Moderna,$12.50,220g,Soriana
Pasta para sopa,Pasta Italpasta Almejas,$10.00,200g,Soriana
Pasta para sopa,Sopa Inst De Verdudas Sabor Piquin-Limon,$30.90,No disponible,Soriana
Pollo entero,Pollo Entero con Visceras Bachoco Precio por Kilo,$38.90,No disponible,Soriana
Pollo entero,Pollo Entero C/V Pilgrims Kg,$38.90,No disponible,Soriana
Pollo entero,Pollo Entero Granavia con Adobo Kg,$99.90,No disponible,Soriana
Sardina en lata,Atún en Agua Precíssimo,$12.00,130g,Soriana
Sardina en lata,Sardina Valley Foods en Salsa de Tomate,$20.00,425 g,Soriana
Sardina en lata,Sardina En Salsa De Tomate Dolores Lata,$41.50,425g,Soriana
Tortilla de maíz,Tortilla de Maíz Blanca,$13.90,1 Kg,Soriana
Tortilla de maíz,Tortilla de Maíz Amarilla,$13.90,1 Kg,Soriana
Tortilla de maíz,Tortilla de Maíz Blanca Taquera,$15.50,1 Kg,Soriana
Zanahoria,Zanahoria Kg,$13.90,No disponible,Soriana
Zanahoria,Zanahorias La Costeña en Escabeche,$15.30,230 g,Soriana
Zanahoria,Zanahoria Baby Vegetalistos,$37.50,340 g,Soriana
